School,Nickname,City,State/Province,Conference,Division
South Dakota School of Mines and Technology,Hardrockers,Rapid City,South Dakota,Rocky Mountain Athletic Conference,2
Southeastern Oklahoma State University,Savage Storm,Durant,Oklahoma,Great American Conference,2
Southern Arkansas University,Muleriders,Magnolia,Arkansas,Great American Conference,2
Southern Connecticut State University,Owls,New Haven,Connecticut,Northeast-10 Conference,2
University of Southern Indiana,Screaming Eagles,Evansville,Indiana,Great Lakes Valley Conference,2
Southern Nazarene University,Crimson Storm,Bethany,Oklahoma,Great American Conference,2
Southern New Hampshire University,Penmen,Manchester,New Hampshire,Northeast-10 Conference,2
Southern Wesleyan University,Warriors,Central,South Carolina,Conference Carolinas,2
Southwest Baptist University,Bearcats,Bolivar,Missouri,Mid-America Intercollegiate Athletics Association[h],2
Southwest Minnesota State University,Mustangs,Marshall,Minnesota,Northern Sun Intercollegiate Conference,2
Southwestern Oklahoma State University,Bulldogs,Weatherford,Oklahoma,Great American Conference,2
Stonehill College,Skyhawks,Easton,Massachusetts,Northeast-10 Conference,2
University of Tampa,Spartans,Tampa,Florida,Sunshine State Conference,2
Tarleton State University,Texans & TexAnns,Stephenville,Texas,Lone Star Conference,2
Texas A&M University–Commerce,Lions,Commerce,Texas,Lone Star Conference,2
Texas A&M University–Kingsville,Javelinas,Kingsville,Texas,Lone Star Conference,2
Texas A&M International University,Dustdevils,Laredo,Texas,Heartland Conference,2
Texas Woman's University,Pioneers,Denton,Texas,Lone Star Conference,2
University of Texas of the Permian Basin,Falcons,Odessa,Texas,Lone Star Conference,2
Thomas Jefferson University,Rams,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,2
Tiffin University,Dragons,Tiffin,Ohio,Great Midwest Athletic Conference,2
Trevecca Nazarene University,Trojans,Nashville,Tennessee,Great Midwest Athletic Conference,2
Truman State University,Bulldogs,Kirksville,Missouri,Great Lakes Valley Conference,2
Tusculum College,Pioneers,Greeneville,Tennessee,South Atlantic Conference,2
Tuskegee University,Golden Tigers,Tuskegee,Alabama,Southern Intercollegiate Athletic Conference,2
Union University,Bulldogs,Jackson,Tennessee,Gulf South Conference,2
Upper Iowa University,Peacocks,Fayette,Iowa,Northern Sun Intercollegiate Conference,2
Urbana University,Blue Knights,Urbana,Ohio,Mountain East Conference,2
Ursuline College,Arrows,Pepper Pike,Ohio,Great Midwest Athletic Conference,2
Valdosta State University,Blazers,Valdosta,Georgia,Gulf South Conference,2
Virginia State University,Trojans,Ettrick,Virginia,Central Intercollegiate Athletic Association,2
Virginia Union University,Panthers,Richmond,Virginia,Central Intercollegiate Athletic Association,2
University of Virginia's College at Wise,Highland Cavaliers,Wise,Virginia,Mountain East Conference[i],2
Walsh University,Cavaliers,North Canton,Ohio,Great Midwest Athletic Conference,2
Washburn University,Ichabods,Topeka,Kansas,Mid-America Intercollegiate Athletics Association,2
Wayne State University,Warriors,Detroit,Michigan,Great Lakes Intercollegiate Athletic Conference,2
Wayne State College,Wildcats,Wayne,Nebraska,Northern Sun Intercollegiate Conference,2
University of West Alabama,Tigers,Livingston,Alabama,Gulf South Conference,2
West Chester University,Golden Rams,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,2
University of West Florida,Argonauts,Pensacola,Florida,Gulf South Conference,2
University of West Georgia,Wolves,Carrollton,Georgia,Gulf South Conference,2
West Liberty University,Hilltoppers,West Liberty,West Virginia,Mountain East Conference,2
West Texas A&M University,Buffaloes,Canyon,Texas,Lone Star Conference,2
West Virginia State University,Yellow Jackets,Institute,West Virginia,Mountain East Conference,2
West Virginia Wesleyan College,Bobcats,Buckhannon,West Virginia,Mountain East Conference,2
Western New Mexico University,Mustangs,Silver City,New Mexico,Lone Star Conference,2
Western Oregon University,Wolves,Monmouth,Oregon,Great Northwest Athletic Conference,2
Western State Colorado University,Mountaineers,Gunnison,Colorado,Rocky Mountain Athletic Conference,2
Western Washington University,Vikings,Bellingham,Washington,Great Northwest Athletic Conference,2
Wheeling Jesuit University,Cardinals,Wheeling,West Virginia,Mountain East Conference,2
William Jewell College,Cardinals,Liberty,Missouri,Great Lakes Valley Conference,2
Wilmington University,Wildcats,New Castle,Delaware,Central Atlantic Collegiate Conference,2
Wingate University,Bulldogs,Wingate,North Carolina,South Atlantic Conference,2
Winona State University,Warriors,Winona,Minnesota,Northern Sun Intercollegiate Conference,2
Winston–Salem State University,Rams,Winston–Salem,North Carolina,Central Intercollegiate Athletic Association,2
University of Wisconsin–Parkside,Rangers,Kenosha,Wisconsin,Great Lakes Intercollegiate Athletic Conference,2
Young Harris College,Mountain Lions,Young Harris,Georgia,Peach Belt Conference,2
Adrian College,Bulldogs,Adrian,Michigan,Michigan Intercollegiate Athletic Association,3
Agnes Scott College,Scotties,Decatur,Georgia,USA South Athletic Conference,3
Albertus Magnus College,Falcons,New Haven,Connecticut,Great Northeast Athletic Conference,3
Albion College,Britons,Albion,Michigan,Michigan Intercollegiate Athletic Association,3
Albright College,Lions,Reading,Pennsylvania,MAC Commonwealth Conference,3
Alfred University,Saxons,Alfred,New York,Empire 8,3
Alfred State College,Pioneers,Alfred,New York,"American Collegiate Athletic Association
(Allegheny Mountain Collegiate Conference in 2019)",3
Allegheny College,Gators,Meadville,Pennsylvania,North Coast Athletic Conference,3
Alma College,Scots,Alma,Michigan,Michigan Intercollegiate Athletic Association,3
Alvernia University,Crusaders,Reading,Pennsylvania,MAC Commonwealth Conference,3
Alverno College,Inferno,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,3
Amherst College,Mammoths,Amherst,Massachusetts,New England Small College Athletic Conference,3
Anderson University,Ravens and Lady Ravens,Anderson,Indiana,Heartland Collegiate Athletic Conference,3
Anna Maria College,AMCATS,Paxton,Massachusetts,Great Northeast Athletic Conference,3
Arcadia University,Knights,Glenside,Pennsylvania,MAC Commonwealth Conference,3
Augsburg University,Auggies,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference,3
Augustana College,Vikings,Rock Island,Illinois,College Conference of Illinois and Wisconsin,3
Aurora University,Spartans,Aurora,Illinois,Northern Athletics Collegiate Conference,3
Austin College,Kangaroos,Sherman,Texas,Southern Collegiate Athletic Conference,3
Averett University,Cougars,Danville,Virginia,USA South Athletic Conference,3
Babson College,Beavers,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,3
Baldwin Wallace University,Yellow Jackets,Berea,Ohio,Ohio Athletic Conference,3
Bard College,Raptors,Annandale-on-Hudson,New York,Liberty League,3
Baruch College,Bearcats,New York,New York,City University of New York Athletic Conference,3
Bates College,Bobcats,Lewiston,Maine,New England Small College Athletic Conference,3
Bay Path University,Wildcats,Longmeadow,Massachusetts,New England Collegiate Conference,3
Becker College,Hawks,Worcester/Leicester,Massachusetts,New England Collegiate Conference,3
Belhaven University,Blazers,Jackson,Mississippi,American Southwest Conference,3
Beloit College,Buccaneers,Beloit,Wisconsin,Midwest Conference,3
Benedictine University,Eagles,Lisle,Illinois,Northern Athletics Collegiate Conference,3
Berea College,Mountaineers,Berea,Kentucky,USA South Athletic Conference,3
Berry College,Vikings,Mount Berry,Georgia,Southern Athletic Association,3
Bethany College,Bison,Bethany,West Virginia,Presidents' Athletic Conference,3
Bethany Lutheran College,Vikings,Mankato,Minnesota,Upper Midwest Athletic Conference,3
Bethel University,Royals,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference,3
Birmingham–Southern College,Panthers,Birmingham,Alabama,Southern Athletic Association,3
Blackburn College,Beavers,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference,3
Bluffton University,Beavers,Bluffton,Ohio,Heartland Collegiate Athletic Conference,3
Bowdoin College,Polar Bears,Brunswick,Maine,New England Small College Athletic Conference,3
Brandeis University,Judges,Waltham,Massachusetts,University Athletic Association,3
Brevard CollegeA 2,Tornados,Brevard,North Carolina,USA South Athletic Conference,3
Bridgewater College,Eagles,Bridgewater,Virginia,Old Dominion Athletic Conference,3
Bridgewater State University,Bears,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
Brooklyn College,Bulldogs,Brooklyn,New York,City University of New York Athletic Conference,3
Bryn Athyn College,Lions,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference,3
Bryn Mawr College,Owls,Bryn Mawr,Pennsylvania,Centennial Conference,3
Buena Vista University,Beavers,Storm Lake,Iowa,Iowa Intercollegiate Athletic Conference,3
Buffalo State College,Bengals,Buffalo,New York,State University of New York Athletic Conference,3
Cabrini University,Cavaliers,Radnor,Pennsylvania,Atlantic East Conference,3
Cairn University,Highlanders,Langhorne,Pennsylvania,Colonial States Athletic Conference,3
California Institute of Technology,Beavers,Pasadena,California,Southern California Intercollegiate Athletic Conference,3
California Lutheran University,Kingsmen,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference,3
"University of California, Santa Cruz ",Banana Slugs,Santa Cruz,California,Independent,3
Calvin College,Knights,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association,3
Capital University,Crusaders,Columbus,Ohio,Ohio Athletic Conference,3
Carleton College,Knights,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,3
Carnegie Mellon University,Tartans,Pittsburgh,Pennsylvania,University Athletic Association,3
Carroll University,Pioneers,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin,3
Carthage College,Red Men/Lady Reds,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin,3
Case Western Reserve University,Spartans,Cleveland,Ohio,University Athletic Association,3
Castleton University,Spartans,Castleton,Vermont,Little East Conference,3
Catholic University of America,Cardinals,Washington,District of Columbia,Landmark Conference,3
Cazenovia College,Wildcats,Cazenovia,New York,North Eastern Athletic Conference,3
Cedar Crest College,Falcons,Allentown,Pennsylvania,Colonial States Athletic Conference,3
Centenary College of Louisiana,Gents and Ladies,Shreveport,Louisiana,Southern Collegiate Athletic Conference,3
Centenary College of New Jersey,Cyclones,Hackettstown,New Jersey,Colonial States Athletic Conference,3
Central College,Dutch,Pella,Iowa,Iowa Intercollegiate Athletic Conference,3
Centre College,Colonels,Danville,Kentucky,Southern Athletic Association,3
Chapman University,Panthers,Orange,California,Southern California Intercollegiate Athletic Conference,3
Chatham University,Cougars,Pittsburgh,Pennsylvania,Presidents' Athletic Conference,3
University of Chicago,Maroons,Chicago,Illinois,University Athletic Association,3
Christopher Newport University,Captains,Newport News,Virginia,Capital Athletic Conference,3
City College of New York (CCNY),Beavers,New York,New York,City University of New York Athletic Conference,3
Claremont–Mudd–Scripps,Stags and Athenas,Claremont,California,Southern California Intercollegiate Athletic Conference,3
Clark University,Cougars,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,3
Clarks Summit University,Defenders,Clarks Summit,Pennsylvania,Colonial States Athletic Conference,3
Clarkson University,Golden Knights,Potsdam,New York,Liberty League,3
Coe College,Kohawks,Cedar Rapids,Iowa,Iowa Intercollegiate Athletic Conference,3
Colby College,White Mules,Waterville,Maine,New England Small College Athletic Conference,3
Colby–Sawyer College,Chargers,New London,New Hampshire,Great Northeast Athletic Conference,3
Colorado College,Tigers,Colorado Springs,Colorado,Southern Collegiate Athletic Conference,3
Concordia College,Cobbers,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference,3
Concordia University Chicago,Cougars,River Forest,Illinois,Northern Athletics Collegiate Conference,3
Concordia University Texas,Tornados,Austin,Texas,American Southwest Conference,3
Concordia University Wisconsin,Falcons,Mequon,Wisconsin,Northern Athletics Collegiate Conference,3
Connecticut College,Camels,New London,Connecticut,New England Small College Athletic Conference,3
Cornell College,Rams,Mount Vernon,Iowa,Midwest Conference,3
Covenant College,Scots,Lookout Mountain,Georgia,USA South Athletic Conference,3
Crown College,Storm,St. Bonifacius,Minnesota,Upper Midwest Athletic Conference,3
Curry College,Colonels,Milton,Massachusetts,Commonwealth Coast Conference,3
University of Dallas,Crusaders,Irving,Texas,Southern Collegiate Athletic Conference,3
Dean College,Bulldogs,Franklin,Massachusetts,New England Collegiate Conference,3
Defiance College,Yellow Jackets and Lady Jackets,Defiance,Ohio,Heartland Collegiate Athletic Conference,3
Delaware Valley University,Aggies,Doylestown,Pennsylvania,MAC Freedom Conference,3
Denison University,Big Red,Granville,Ohio,North Coast Athletic Conference,3
DePauw University,Tigers,Greencastle,Indiana,North Coast Athletic Conference,3
DeSales University,Bulldogs,Center Valley,Pennsylvania,MAC Freedom Conference,3
Dickinson College,Red Devils,Carlisle,Pennsylvania,Centennial Conference,3
Dominican University,Stars,River Forest,Illinois,Northern Athletics Collegiate Conference,3
Drew University,Rangers,Madison,New Jersey,Landmark Conference,3
University of Dubuque,Spartans,Dubuque,Iowa,Iowa Intercollegiate Athletic Conference,3
D'Youville College,Spartans,Buffalo,New York,Allegheny Mountain Collegiate Conference,3
Earlham College,Quakers,Richmond,Indiana,Heartland Collegiate Athletic Conference,3
East Texas Baptist University,Tigers,Marshall,Texas,American Southwest Conference,3
Eastern Connecticut State University,Warriors,Willimantic,Connecticut,Little East Conference,3
Eastern Mennonite University,Royals,Harrisonburg,Virginia,Old Dominion Athletic Conference,3
Eastern Nazarene College,Lions,Quincy,Massachusetts,New England Collegiate Conference,3
Eastern University,Eagles,St. Davids,Pennsylvania,MAC Freedom Conference,3
Edgewood College,Eagles,Madison,Wisconsin,Northern Athletics Collegiate Conference,3
Elizabethtown College,Blue Jays,Elizabethtown,Pennsylvania,Landmark Conference,3
Elmhurst College,Bluejays,Elmhurst,Illinois,College Conference of Illinois and Wisconsin,3
Elmira College,Soaring Eagles,Elmira,New York,Empire 8,3
Elms College,Blazers,Chicopee,Massachusetts,New England Collegiate Conference,3
Emerson College,Lions,Boston,Massachusetts,New England Women's and Men's Athletic Conference,3
Emmanuel College,Saints,Boston,Massachusetts,Great Northeast Athletic Conference,3
Emory University,Eagles,Atlanta,Georgia,University Athletic Association,3
Emory and Henry College,Wasps,Emory,Virginia,Old Dominion Athletic Conference,3
Endicott College,Gulls,Beverly,Massachusetts,Commonwealth Coast Conference,3
Eureka College,Red Devils,Eureka,Illinois,St. Louis Intercollegiate Athletic Conference,3
"Fairleigh Dickinson University, Florham",Devils,Madison/Florham Park,New Jersey,MAC Freedom Conference,3
Farmingdale State College,Rams,Farmingdale,New York,Skyline Conference,3
Ferrum College,Panthers,Ferrum,Virginia,Old Dominion Athletic Conference,3
Finlandia University,Lions,Hancock,Michigan,American Collegiate Athletic Association,3
Fitchburg State University,Falcons,Fitchburg,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
Fontbonne University,Griffins,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,3
Framingham State University,Rams,Framingham,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
Franciscan University of Steubenville,Barons,Steubenville,Ohio,Allegheny Mountain Collegiate Conference,3
Franklin & Marshall College,Diplomats,Lancaster,Pennsylvania,Centennial Conference,3
Franklin College,Grizzlies,Franklin,Indiana,Heartland Collegiate Athletic Conference,3
Frostburg State University,Bobcats,Frostburg,Maryland,Capital Athletic Conference,3
Gallaudet University,Bison,Washington,District of Columbia,North Eastern Athletic Conference,3
Geneva College,Golden Tornadoes,Beaver Falls,Pennsylvania,Presidents' Athletic Conference,3
George Fox University,Bruins,Newberg,Oregon,Northwest Conference,3
Gettysburg College,Bullets,Gettysburg,Pennsylvania,Centennial Conference,3
Gordon College,Fighting Scots,Wenham,Massachusetts,Commonwealth Coast Conference,3
Goucher College,Gophers,Towson,Maryland,Landmark Conference,3
Greensboro College,Pride,Greensboro,North Carolina,USA South Athletic Conference,3
Greenville University,Panthers,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference,3
Grinnell College,Pioneers,Grinnell,Iowa,Midwest Conference,3
Grove City College,Wolverines,Grove City,Pennsylvania,Presidents' Athletic Conference,3
Guilford College,Quakers,Greensboro,North Carolina,Old Dominion Athletic Conference,3
Gustavus Adolphus College,Gusties,St. Peter,Minnesota,Minnesota Intercollegiate Athletic Conference,3
Gwynedd Mercy University,Griffins,Lower Gwynedd Township,Pennsylvania,Atlantic East Conference,3
Hamilton College,Continentals,Clinton,New York,New England Small College Athletic Conference,3
Hamline University,Pipers,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,3
Hampden–Sydney College,Tigers,Hampden Sydney,Virginia,Old Dominion Athletic Conference,3
Hanover College,Panthers,Hanover,Indiana,Heartland Collegiate Athletic Conference,3
Hardin–Simmons University,Cowboys and Cowgirls,Abilene,Texas,American Southwest Conference,3
Hartwick College,Hawks,Oneonta,New York,Empire 8,3
Haverford College,Fords,Haverford,Pennsylvania,Centennial Conference,3
Heidelberg University,Student Princes,Tiffin,Ohio,Ohio Athletic Conference,3
Hendrix College,Warriors,Conway,Arkansas,Southern Athletic Association,3
Hilbert College,Hawks,Hamburg,New York,Allegheny Mountain Collegiate Conference,3
Hiram College,Terriers,Hiram,Ohio,North Coast Athletic Conference,3
Hobart College,Statesmen,Geneva,New York,Liberty League,3
Hollins University,None,Roanoke,Virginia,Old Dominion Athletic Conference,3
Hood College,Blazers,Frederick,Maryland,MAC Commonwealth Conference,3
Hope College,Flying Dutchmen,Holland,Michigan,Michigan Intercollegiate Athletic Association,3
Houghton College,Highlanders,Houghton,New York,Empire 8,3
Howard Payne University,Yellow Jackets,Brownwood,Texas,American Southwest Conference,3
Hunter College,Hawks,New York,New York,City University of New York Athletic Conference,3
Huntingdon College,Hawks,Montgomery,Alabama,USA South Athletic Conference,3
Husson University,Eagles,Bangor,Maine,North Atlantic Conference,3
Illinois College,Blueboys and Lady Blues,Jacksonville,Illinois,Midwest Conference,3
Illinois Institute of Technology,Scarlet Hawks,Chicago,Illinois,Northern Athletics Collegiate Conference,3
Illinois Wesleyan University,Titans,Bloomington,Illinois,College Conference of Illinois and Wisconsin,3
Immaculata University,Mighty Macs,Immaculata,Pennsylvania,Atlantic East Conference,3
Iowa Wesleyan University,Tigers,Mt. Pleasant,Iowa,St. Louis Intercollegiate Athletic Conference,3
Ithaca College,Bombers,Ithaca,New York,Liberty League,3
John Carroll University,Blue Streaks,University Heights,Ohio,Ohio Athletic Conference,3
John Jay College of Criminal Justice,Bloodhounds,New York,New York,City University of New York Athletic Conference,3
Johns Hopkins University,Blue Jays,Baltimore,Maryland,Centennial Conference,3
Johnson & Wales University,Wildcats,Providence,Rhode Island,Great Northeast Athletic Conference,3
Johnson & Wales University–Denver,Wildcats,Denver,Colorado,Southern Collegiate Athletic Conference,3
Juniata College,Eagles,Huntingdon,Pennsylvania,Landmark Conference,3
Kalamazoo College,Hornets,Kalamazoo,Michigan,Michigan Intercollegiate Athletic Association,3
Kean University,Cougars,Union Township,New Jersey,New Jersey Athletic Conference,3
Keene State College,Owls,Keene,New Hampshire,Little East Conference,3
Kenyon College,Lords and Ladies,Gambier,Ohio,North Coast Athletic Conference,3
Keuka College,Wolves,Keuka Park,New York,North Eastern Athletic Conference,3
Keystone College,Giants,La Plume Township,Pennsylvania,Colonial States Athletic Conference,3
King's College,Monarchs,Wilkes-Barre,Pennsylvania,MAC Freedom Conference,3
Knox College,Prairie Fire,Galesburg,Illinois,Midwest Conference,3
La Roche College,Redhawks,Pittsburgh,Pennsylvania,Allegheny Mountain Collegiate Conference,3
University of La Verne,Leopards,La Verne,California,Southern California Intercollegiate Athletic Conference,3
LaGrange College,Panthers,LaGrange,Georgia,USA South Athletic Conference,3
Lake Forest College,Foresters,Lake Forest,Illinois,Midwest Conference,3
Lakeland College,Muskies,Sheboygan,Wisconsin,Northern Athletics Collegiate Conference,3
Lancaster Bible College,Chargers,Lancaster,Pennsylvania,North Eastern Athletic Conference,3
Lasell College,Lasers,Newton,Massachusetts,Great Northeast Athletic Conference,3
Lawrence University,Vikings,Appleton,Wisconsin,Midwest Conference,3
Lebanon Valley College,Flying Dutchmen,Annville,Pennsylvania,MAC Commonwealth Conference,3
Lehman College,Lightning,The Bronx,New York,City University of New York Athletic Conference,3
Lesley University,Lynx,Boston,Massachusetts,New England Collegiate Conference,3
LeTourneau University,Yellow Jackets,Longview,Texas,American Southwest Conference,3
Lewis & Clark College,Pioneers,Portland,Oregon,Northwest Conference,3
Linfield College,Wildcats,McMinnville,Oregon,Northwest Conference,3
Loras College,Duhawks,Dubuque,Iowa,Iowa Intercollegiate Athletic Conference,3
Louisiana College,Wildcats,Pineville,Louisiana,American Southwest Conference,3
Luther College,Norse,Decorah,Iowa,Iowa Intercollegiate Athletic Conference,3
Lycoming College,Warriors,Williamsport,Pennsylvania,MAC Commonwealth Conference,3
Lynchburg College,Hornets,Lynchburg,Virginia,Old Dominion Athletic Conference,3
Macalester College,Scots,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,3
