School,City,State/Province,Other Affiliations,Region,League,Division
Bethesda University,Anaheim,California,,West,,1
Biola University,La Mirada,California,Pacific West Conference ,West,NCAA,2
Life Pacific College,San Dimas,California,,West,,1
New Hope Christian College,Eugene,Oregon,,West,,1
Providence Christian College,Pasadena,California,California Pacific Conference,West,NAIA,1
St. Katherine College,San Marcos,California,,West,,1
West Coast Baptist College,Lancaster,California,,West,,1
Yellowstone Christian College,Billings,Montana,,West,,1
Arlington Baptist University,Arlington,Texas,Independent,Southwest,ACCA,2
Baptist Bible College,Springfield,Missouri,,Southwest,,2
Barclay College,Haviland,Kansas,Midwest Christian College Conference,Southwest,ACCA,2
Central Christian College of the Bible,Moberly,Missouri,Midwest Christian College Conference,Southwest,ACCA,2
Dallas Christian College,Farmers Branch,Texas,Independent,Southwest,ACCA,2
Kansas Christian College,Overland Park,Kansas,Independent,Southwest,ACCA,2
Manhattan Christian College,Manhattan,Kansas,Midwest Christian College Conference,Southwest,ACCA,2
Ozark Christian College,Joplin,Missouri,Midwest Christian College Conference,Southwest,ACCA,2
Portland Bible College,Portland,Oregon,,Southwest,,2
Randall University[1],Moore,Oklahoma,Independent,Southwest,ACCA,2
Bob Jones University,Greenville,South Carolina,,South,,2
Johnson University,Kissimmee,Florida,,South,,2
Pensacola Christian College,Pensacola,Florida,,South,,2
Toccoa Falls College,Toccoa,Georgia,,South,,2
Trinity Baptist College,Jacksonville,Florida,,South,,2
Trinity College,New Port Richey,Florida,,South,,2
Brewton-Parker College,Mount Vernon,Georgia,Southern States Athletic Conference,South,NAIA,2
Carver College,Atlanta,Georgia,,South,,2
Columbia International University,Columbia,South Carolina,,South,,2
Emmanuel College,Franklin Springs,Georgia,Conference Carolinas,South,NCAA,2
John Wesley University,High Point,North Carolina,,South,,2
North Greenville University,Tigerville,South Carolina,Conference Carolinas,South,NCAA,2
Piedmont International University,Winston-Salem,North Carolina,,South,,2
Regent University,Virginia Beach,Virginia,,South,,2
Southeastern University,Lakeland,Florida,The Sun Conference,South,NAIA,2
Southern Wesleyan University,Central,South Carolina,Conference Carolinas,South,NCAA,2
Virginia University of Lynchburg,Lynchburg,Virginia,,South,,2
Warner University,Lake Wales,Florida,The Sun Conference,South,NAIA,2
Bethel College,Mishawaka,Indiana,Crossroads League,North Central,NAIA,1
Greenville University,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference,North Central,NCAA,3
Judson University,Elgin,Illinois,Chicagoland Collegiate Athletic Conference,North Central,NAIA,1
Lincoln Christian University,Lincoln,Illinois,Independent,North Central,NAIA,1
University of Northwestern â€“ St. Paul,Roseville,Minnesota,Upper Midwest Athletic Conference,North Central,NCAA,3
Olivet Nazarene University,Bourbonnais,Illinois,Chicagoland Collegiate Athletic Conference,North Central,NAIA,1
Trinity Christian College,Palos Heights,Illinois,Chicagoland Collegiate Athletic Conference,North Central,NAIA,1
Trinity International University,Deerfield,Illinois,Chicagoland Collegiate Athletic Conference,North Central,NAIA,1
Calvary University,Kansas City,Missouri,,North,,2
Emmaus Bible College,Dubuque,Iowa,,North,,2
Faith Baptist Bible College,Ankeny,Iowa,Midwest Christian College Conference (ACCA),North,ACCA,2
Maranatha Baptist University,Watertown,Wisconsin,Independent,North,NCAA,3
Moody Bible Institute,Chicago,Illinois,,North,,2
North Central University,Minneapolis,Minnesota,Upper Midwest Athletic Conference,North,NCAA,3
Oak Hills Christian College,Bemidji,Minnesota,Association of Christian College Athletics,North,ACCA,2
Providence College,Otterburne,Manitoba,Manitoba Colleges Athletic Conference (ACCA),North,ACCA,2
Trinity Bible College,Ellendale,North Dakota,Independent (ACCA),North,ACCA,2
Cairn University,Langhorne,Pennsylvania,Colonial States Athletic Conference,Midwest,NCAA,3
Cedarville University,Cedarville,Ohio,Great Midwest Athletic Conference,Midwest,NCAA,2
Cincinnati Christian University,Cincinnati,Ohio,River States Conference,Midwest,NAIA,1
Concordia University Ann Arbor,Ann Arbor,Michigan,Wolverine-Hoosier Athletic Conference,Midwest,NAIA,1
Grace College,Winona Lake,Indiana,Crossroads League,Midwest,NAIA,1
Houghton College,Houghton,New York,Empire 8,Midwest,NCAA,1
Huntington University,Huntington,Indiana,Crossroads League,Midwest,NAIA,1
Indiana Wesleyan University,Marion,Indiana,Crossroads League,Midwest,NAIA,1
Lancaster Bible College,Lancaster,Pennsylvania,North Eastern Athletic Conference,Midwest,NCAA,3
Ohio Christian University,Circleville,Ohio,River States Conference,Midwest,NAIA,1
Roberts Wesleyan College,North Chili,New York,East Coast Conference,Midwest,NCAA,2
Appalachian Bible College,Beckley,West Virginia,,Mideast,,2
Boyce College,Louisville,Kentucky,,Mideast,,2
Grace Bible College,Grand Rapids,Michigan,Independent (ACCA),Mideast,ACCA,2
Great Lakes Christian College,Delta Township,Michigan,,Mideast,,2
Johnson University,Knoxville,Tennessee,,Mideast,,2
Kentucky Christian University,Grayson,Kentucky,Independent,Mideast,NAIA,2
Simmons College of Kentucky,Louisville,Kentucky,,Mideast,,2
Welch College,Nashville,Tennessee,Independent (ACCA),Mideast,ACCA,2
Alice Lloyd College,Pippa Passes,Kentucky,River States Conference,Mideast,NAIA,1
Belhaven University,Jackson,Mississippi,American Southwest Conference,Mideast,NCAA,1
Bluefield College,Bluefield,Virginia,Appalachian Athletic Conference,Mideast,NAIA,1
Campbellsville University,Campbellsville,Kentucky,Mid-South Conference,Mideast,NAIA,1
Hiwassee College,Madisonville,Tennessee,,Mideast,,1
Lee University,Cleveland,Tennessee,Gulf South Conference,Mideast,NCAA,2
Oakland City University,Oakland City,Indiana,Independent,Mideast,NCAA,2
Central Baptist College,Conway,Arkansas,American Midwest Conference,Central,NAIA,1
Central Christian College of Kansas,McPherson,Kansas,Sooner Athletic Conference,Central,NAIA,1
College of the Ozarks,Pointlookout,Missouri,Independent,Central,NAIA,1
Colorado Christian University,Lakewood,Colorado,Rocky Mountain Athletic Conference,Central,NCAA,2
Dallas Baptist University,Dallas,Texas,Heartland Conference,Central,NCAA,2
Ecclesia College,Springdale,Arkansas,,Central,,1
Grace University,Omaha,Nebraska,,Central,,1
McMurry University,Abilene,Texas,American Southwest Conference,Central,NCAA,3
Mid-America Christian University,Oklahoma City,Oklahoma,Sooner Athletic Conference,Central,NAIA,1
Nebraska Christian College,Papillion,Nebraska,,Central,,1
Oklahoma Baptist University,Shawnee,Oklahoma,Great American Conference,Central,NCAA,2
Oklahoma Wesleyan University,Bartlesville,Oklahoma,Kansas Collegiate Athletic Conference,Central,NAIA,1
Southwestern Assemblies of God University,Waxahachie,Texas,Sooner Athletic Conference,Central,NAIA,1
Southwestern Christian University,Bethany,Oklahoma,Sooner Athletic Conference,Central,NAIA,1
York College,York,Nebraska,Kansas Collegiate Athletic Conference,Central,NAIA,1
